SAMPLE,PRIMER,PRIMER MARKER,OTUID,OTUID-SOURCE,OTU MARKER,MARKER-LENGTH,OTU-LENGTH,length difference,N.READS,%READS,%READS 2,PROTAX-order,PROTAX-order_prob,PROTAX-family,PROTAX-family_prob,PROTAX-genus,PROTAX-genus_prob,PROTAX-spp,PROTAX-spp_prob,PROTAX-bestsim,PROTAX-bestsim-pident,PIMBA-HIT,PIMBA-pident,BLASTn-HIT,BLASTn-pident,BLASTn-alignment length,length difference 2,SANGER-class blastn DB2024.3,SANGER-order blastn DB2024.3,SANGER-family blastn DB2024.3,SANGER-genus blastn DB2024.3,SANGER-spp blastn DB2024.3,SANGER-pident blastn DB2024.3,SANGER-class blastn nt remote,SANGER-order blastn nt remote,SANGER-family blastn nt remote,SANGER-genus blastn nt remote,SANGER-spp blastn nt remote,SANGER-pident blastn nt remote
C-mix-4,H,16S,OTU890264139,all-OTU,16S,120,120,0,7,5.25222E-05,5.27625E-05,Chiroptera,-0.00163888,"Chiroptera,Phyllostomidae",-0.00164203,"Chiroptera,Phyllostomidae,Chiroderma",-0.882482,"Chiroptera,Phyllostomidae,Chiroderma,unk",-0.882484,Chiroderma_salvini_NC_065679.1,0.708,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Phyllostomidae; g__Artibeus; s__lituratus,0.98276,,,,,,,,,,,,,,,,
C-mix-4,H,16S,OTU561340170,all-OTU,16S,120,122,2,5,3.75159E-05,3.76875E-05,Rodentia,-0.00436082,"Rodentia,Cricetidae",-0.00469608,"Rodentia,Cricetidae,unk",-0.706743,"Rodentia,Cricetidae,Neacomys,unk",-1.58266,Neacomys_sp._MZ364461.1,0.615,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cricetidae; g__Akodon; s__montensis,0.95763,,,,,,,,,,,,,,,,
C-mix-4,U,12S,OTU652158190,all-OTU,12S,220,221,1,7814,0.172643114,0.625320102,Pilosa,-0.00333409,"Pilosa,Bradypodidae",-0.00333583,"Pilosa,Bradypodidae,Bradypus",-0.019583,"Pilosa,Bradypodidae,Bradypus,unk",-0.0428663,Bradypus_torquatus_EF405918.1,0.975,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Bradypodidae; g__Bradypus; s__torquatus,0.9863,,,,,,,,,,,,,,,,
C-mix-4,U,12S,OTU785684198,all-OTU,12S,220,225,5,4541,0.100329202,0.363396287,Artiodactyla,-0.000111624,"Artiodactyla,Delphinidae",-0.000142834,"Artiodactyla,Delphinidae,Lagenorhynchus",-0.267674,"Artiodactyla,Delphinidae,Lagenorhynchus,unk",-0.26839,Lagenorhynchus_australis_OQ776906.1,0.941,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Delphinidae; g__Sotalia; s__fluviatilis,0.9955,,,,,,,,,,,,,,,,
C-mix-4,U,12S,OTU665151296,all-OTU,12S,220,222,2,69,0.001524491,0.005521767,Chiroptera,-0.0283268,"Chiroptera,Noctilionidae",-0.0284159,"Chiroptera,Noctilionidae,Noctilio",-0.0391935,"Chiroptera,Noctilionidae,Noctilio,albiventris",-1.08335,Noctilio_albiventris_KX381307.1,0.989,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Noctilionidae; g__Noctilio; s__leporinus,1,,,,,,,,,,,,,,,,
C-mix-4,U,12S,OTU704034742,all-OTU,12S,220,221,1,63,0.001391927,0.005041613,Carnivora,-0.039071,"Carnivora,Felidae",-0.0390782,"Carnivora,Felidae,Panthera",-0.0614494,"Carnivora,Felidae,Panthera,unk",-0.082541,Panthera_tigris_AY736559.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Bradypodidae; g__Bradypus; s__torquatus,0.94977,,,,,,,,,,,,,,,,
C-mix-4,U,12S,OTU560424198,all-OTU,12S,220,222,2,9,0.000198847,0.00072023,Primates,-0.000112938,"Primates,Cebidae",-0.000211989,"Primates,Cebidae,Sapajus",-0.286053,"Primates,Cebidae,Sapajus,unk",-0.286183,Sapajus_nigritus_JN400578.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.99539,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU103383157,all-OTU,12S,220,219,1,1983,0.731734317,0.988041854,Diptera,-0.790327,"Diptera,Sarcophagidae",-1.33223,"Diptera,Sarcophagidae,unk",-1.3645,,,Miltogramma_oestracea_MW556020.1,0.689,k__Metazoa; p__Arthropoda; c__Insecta; o__Coleoptera; f__Staphylinidae; g__Tachinus; s__subterraneus,0.84314,Arthropoda;Insecta;Diptera;NA;NA;Diptera sp. INDOBIOSYS-CCDB26153-G06,0.94857,175,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU999774133,all-OTU,12S,220,224,4,9,0.003321033,0.004484305,Sirenia,-0.00528543,"Sirenia,Trichechidae",-0.00528567,"Sirenia,Trichechidae,Trichechus",-0.0116285,"Sirenia,Trichechidae,Trichechus,inunguis",-0.356901,Trichechus_inunguis_MW073826.1,0.982,k__Metazoa; p__Chordata; c__Mammalia; o__Sirenia; f__Trichechidae; g__Trichechus; s__manatus,1,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU391116024,all-OTU,12S,220,224,4,6,0.002214022,0.002989537,Rodentia,-1.90475E-05,"Rodentia,Cuniculidae",-2.57872E-05,"Rodentia,Cuniculidae,Cuniculus",-0.0391208,"Rodentia,Cuniculidae,Cuniculus,unk",-0.0394978,Cuniculus_paca_AF433906.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cuniculidae; g__Cuniculus; s__paca,0.99095,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU560424198,all-OTU,12S,220,222,2,4,0.001476015,0.001993024,Primates,-0.000112938,"Primates,Cebidae",-0.000211989,"Primates,Cebidae,Sapajus",-0.286053,"Primates,Cebidae,Sapajus,unk",-0.286183,Sapajus_nigritus_JN400578.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.99539,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU679151575,all-OTU,12S,220,224,4,3,0.001107011,0.001494768,Artiodactyla,-0.000209573,"Artiodactyla,Tayassuidae",-0.000249408,"Artiodactyla,Tayassuidae,Pecari",-0.0862197,"Artiodactyla,Tayassuidae,Pecari,unk",-0.0869707,Pecari_tajacu_JN632682.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Tayassuidae; g__Pecari; s__tajacu,0.98636,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU70296365,all-OTU,12S,220,215,5,2,0.000738007,0.000996512,"root,unk",-5.73838E-07,,,,,,,,,Unassigned,,Arthropoda;Malacostraca;Amphipoda;Eulimnogammaridae;Eulimnogammarus;Eulimnogammarus cyaneus,1,29,186,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU570123756,all-OTU,16S,120,112,8,41,0.015129151,0.41,Chiroptera,-0.0446977,"Chiroptera,Vespertilionidae",-0.0464141,"Chiroptera,Vespertilionidae,Myotis",-0.579267,"Chiroptera,Vespertilionidae,Myotis,unk",-0.579277,Myotis_bocagii_JX276375.1,0.723,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Vespertilionidae; g__Myotis; s__bocagii,0.875,Chordata;Mammalia;Chiroptera;Phyllostomidae;Artibeus;Artibeus lituratus,0.99099,111,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU911054025,all-OTU,16S,120,119,1,26,0.009594096,0.26,Didelphimorphia,-0.0116487,"Didelphimorphia,Didelphidae",-0.0116492,"Didelphimorphia,Didelphidae,Philander",-0.69364,"Didelphimorphia,Didelphidae,Philander,unk",-0.693644,Philander_frenatus_KJ868146.1,0.824,k__Metazoa; p__Chordata; c__Mammalia; o__Didelphimorphia; f__Didelphidae; g__Didelphis; s__albiventris,0.99115,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU890264139,all-OTU,16S,120,120,0,12,0.004428044,0.12,Chiroptera,-0.00163888,"Chiroptera,Phyllostomidae",-0.00164203,"Chiroptera,Phyllostomidae,Chiroderma",-0.882482,"Chiroptera,Phyllostomidae,Chiroderma,unk",-0.882484,Chiroderma_salvini_NC_065679.1,0.708,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Phyllostomidae; g__Artibeus; s__lituratus,0.98276,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU297315225,all-OTU,16S,120,123,3,9,0.003321033,0.09,"root,unk",-7.02141E-06,,,,,,,,,Unassigned,,Chordata;Aves;Falconiformes;Falconidae;Falco;Falco tinnunculus,1,28,95,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU313691130,all-OTU,16S,120,120,0,4,0.001476015,0.04,Chiroptera,-0.728109,"Carnivora,Felidae",-0.892113,"Chiroptera,Mormoopidae,Pteronotus",-1.20316,"Chiroptera,Mormoopidae,Pteronotus,unk",-1.20317,Pteronotus_sp._KX819316.1,0.775,k__Metazoa; p__Chordata; c__Mammalia; o__Carnivora; f__Felidae; g__Puma; s__yagouaroundi,0.94872,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU212970076,all-OTU,16S,120,120,0,3,0.001107011,0.03,Rodentia,-0.00247102,"Rodentia,Cuniculidae",-0.10439,"Rodentia,Cuniculidae,Cuniculus",-0.351444,"Rodentia,Cuniculidae,Cuniculus,unk",-0.351463,Cuniculus_paca_NC_079967.1,0.917,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cuniculidae; g__Cuniculus; s__paca,0.98291,,,,,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU445436504,all-OTU,16S,120,112,8,3,0.001107011,0.03,"root,unk",-7.02141E-06,,,,,,,,,Unassigned,,Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Obesumbacterium;Obesumbacterium proteus,1,57,55,,,,,,,,,,,,
FRPM2P-04,CHAVES-F1R1,COI,OTU556830680,all-OTU,16S,120,122,2,2,0.000738007,0.02,Sirenia,-0.284986,"Sirenia,Trichechidae",-0.284986,"Sirenia,Trichechidae,Trichechus",-0.531535,"Sirenia,Trichechidae,Trichechus,unk",-0.531667,Trichechus_inunguis_MW073826.1,0.918,k__Metazoa; p__Chordata; c__Mammalia; o__Sirenia; f__Trichechidae; g__Trichechus; s__manatus,0.99153,,,,,,,,,,,,,,,,
FRPM2P-05,CHAVES-F1R1,COI,OTU406423978,all-OTU,12S,220,223,3,46,0.078498294,0.696969697,Pilosa,-0.00170225,"Pilosa,Myrmecophagidae",-0.00170291,"Pilosa,Myrmecophagidae,Tamandua",-0.0112058,"Pilosa,Myrmecophagidae,Tamandua,tetradactyla",-0.0626158,Tamandua_tetradactyla_EF405912.1,1,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Myrmecophagidae; g__Tamandua; s__tetradactyla,0.99548,,,,,,,,,,,,,,,,
FRPM2P-05,CHAVES-F1R1,COI,OTU560424198,all-OTU,12S,220,222,2,13,0.0221843,0.196969697,Primates,-0.000112938,"Primates,Cebidae",-0.000211989,"Primates,Cebidae,Sapajus",-0.286053,"Primates,Cebidae,Sapajus,unk",-0.286183,Sapajus_nigritus_JN400578.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.99539,,,,,,,,,,,,,,,,
FRPM2P-05,CHAVES-F1R1,COI,OTU391116024,all-OTU,12S,220,224,4,4,0.006825939,0.060606061,Rodentia,-1.90475E-05,"Rodentia,Cuniculidae",-2.57872E-05,"Rodentia,Cuniculidae,Cuniculus",-0.0391208,"Rodentia,Cuniculidae,Cuniculus,unk",-0.0394978,Cuniculus_paca_AF433906.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cuniculidae; g__Cuniculus; s__paca,0.99095,,,,,,,,,,,,,,,,
FRPM2P-05,CHAVES-F1R1,COI,OTU355307225,all-OTU,12S,220,224,4,3,0.005119454,0.045454545,Primates,-0.0870043,"Primates,Hominidae",-0.0870054,"Primates,Hominidae,Homo",-0.0975644,"Primates,Hominidae,Homo,unk",-0.380974,Homo_sapiens_AF121219.1,0.986,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__sapiens,0.99099,,,,,,,,,,,,,,,,
FRPM2P-05,CHAVES-F1R1,COI,OTU570123756,all-OTU,16S,120,112,8,17,0.029010239,0.515151515,Chiroptera,-0.0446977,"Chiroptera,Vespertilionidae",-0.0464141,"Chiroptera,Vespertilionidae,Myotis",-0.579267,"Chiroptera,Vespertilionidae,Myotis,unk",-0.579277,Myotis_bocagii_JX276375.1,0.723,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Vespertilionidae; g__Myotis; s__bocagii,0.875,Chordata;Mammalia;Chiroptera;Phyllostomidae;Artibeus;Artibeus lituratus,0.99099,111,,,,,,,,,,,,,
FRPM2P-05,CHAVES-F1R1,COI,OTU445436504,all-OTU,16S,120,112,8,16,0.027303754,0.484848485,"root,unk",-7.02141E-06,,,,,,,,,Unassigned,,Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Obesumbacterium;Obesumbacterium proteus,1,57,55,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU406423978,all-OTU,12S,220,223,3,33,0.027754415,0.6875,Pilosa,-0.00170225,"Pilosa,Myrmecophagidae",-0.00170291,"Pilosa,Myrmecophagidae,Tamandua",-0.0112058,"Pilosa,Myrmecophagidae,Tamandua,tetradactyla",-0.0626158,Tamandua_tetradactyla_EF405912.1,1,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Myrmecophagidae; g__Tamandua; s__tetradactyla,0.99548,,,,,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU103383157,all-OTU,12S,220,219,1,13,0.010933558,0.270833333,Diptera,-0.790327,"Diptera,Sarcophagidae",-1.33223,"Diptera,Sarcophagidae,unk",-1.3645,,,Miltogramma_oestracea_MW556020.1,0.689,k__Metazoa; p__Arthropoda; c__Insecta; o__Coleoptera; f__Staphylinidae; g__Tachinus; s__subterraneus,0.84314,Arthropoda;Insecta;Diptera;NA;NA;Diptera sp. INDOBIOSYS-CCDB26153-G06,0.94857,175,,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU679151575,all-OTU,12S,220,224,4,2,0.001682086,0.041666667,Artiodactyla,-0.000209573,"Artiodactyla,Tayassuidae",-0.000249408,"Artiodactyla,Tayassuidae,Pecari",-0.0862197,"Artiodactyla,Tayassuidae,Pecari,unk",-0.0869707,Pecari_tajacu_JN632682.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Tayassuidae; g__Pecari; s__tajacu,0.98636,,,,,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU890264139,all-OTU,16S,120,120,0,219,0.184188394,0.601648352,Chiroptera,-0.00163888,"Chiroptera,Phyllostomidae",-0.00164203,"Chiroptera,Phyllostomidae,Chiroderma",-0.882482,"Chiroptera,Phyllostomidae,Chiroderma,unk",-0.882484,Chiroderma_salvini_NC_065679.1,0.708,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Phyllostomidae; g__Artibeus; s__lituratus,0.98276,,,,,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU549024624,all-OTU,16S,120,121,1,47,0.039529016,0.129120879,Artiodactyla,-0.00339945,"Artiodactyla,Bovidae",-0.0295321,"Artiodactyla,Bovidae,Bos",-1.04881,"Artiodactyla,Bovidae,Bos,unk",-1.04884,Bos_indicus_AB511046.1,0.916,k__Metazoa; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__taurus,0.98291,,,,,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU911054025,all-OTU,16S,120,119,1,38,0.03195963,0.104395604,Didelphimorphia,-0.0116487,"Didelphimorphia,Didelphidae",-0.0116492,"Didelphimorphia,Didelphidae,Philander",-0.69364,"Didelphimorphia,Didelphidae,Philander,unk",-0.693644,Philander_frenatus_KJ868146.1,0.824,k__Metazoa; p__Chordata; c__Mammalia; o__Didelphimorphia; f__Didelphidae; g__Didelphis; s__albiventris,0.99115,,,,,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU618954846,all-OTU,16S,120,115,5,29,0.024390244,0.07967033,"root,unk",-7.02141E-06,,,,,,,,,Unassigned,,Chordata;Amphibia;Anura;Bufonidae;Ingerophrynus;Ingerophrynus celebensis,1,31,84,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU343752411,all-OTU,16S,120,103,17,22,0.018502944,0.06043956,Primates,-0.160477,"Primates,Atelidae",-1.03306,"Primates,Atelidae,Lagothrix",-1.31729,"Primates,Atelidae,Lagothrix,unk",-1.31731,Lagothrix_lagotricha_AF420049.1,0.68,Unassigned,,Chordata;Mammalia;Primates;Atelidae;Alouatta;Alouatta guariba,0.9798,99,,,,,,,,,,,,,
FRPM2P-06,CHAVES-F1R1,COI,OTU570123756,all-OTU,16S,120,112,8,9,0.007569386,0.024725275,Chiroptera,-0.0446977,"Chiroptera,Vespertilionidae",-0.0464141,"Chiroptera,Vespertilionidae,Myotis",-0.579267,"Chiroptera,Vespertilionidae,Myotis,unk",-0.579277,Myotis_bocagii_JX276375.1,0.723,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Vespertilionidae; g__Myotis; s__bocagii,0.875,Chordata;Mammalia;Chiroptera;Phyllostomidae;Artibeus;Artibeus lituratus,0.99099,111,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F14R12,COI,OTU91947462,all-OTU,COI,250,255,5,17,0.001892464,0.739130435,Primates,-0.021893,"Primates,Atelidae",-0.0222689,"Primates,Atelidae,Brachyteles",-0.109605,"Primates,Atelidae,Brachyteles,unk",-0.109623,Brachyteles_arachnoides_GBMA5933-13,0.788,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Atelidae; g__Alouatta; s__guariba,0.98016,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F14R12,COI,OTU279795832,all-OTU,COI,250,254,4,6,0.000667928,0.260869565,Rodentia,-0.00100928,"Rodentia,Cuniculidae",-0.0010212,"Rodentia,Cuniculidae,Cuniculus",-0.0155642,"Rodentia,Cuniculidae,Cuniculus,unk",-0.0874383,Cuniculus_paca_JF459126.1,0.956,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cuniculidae; g__Cuniculus; s__paca,0.97619,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F14R12,COI,OTU435691042,all-OTU,12S,220,219,1,917,0.10208171,1,Coleoptera,-0.565357,"Coleoptera,Carabidae",-1.43512,"Coleoptera,Carabidae,unk",-1.44967,,,Lixophaga_fallax_OP747073.1,0.68,k__Metazoa; p__Arthropoda; c__Insecta; o__Diptera; f__Tachinidae; g__Lixophaga; s__fallax,0.87864,Arthropoda;Insecta;Diptera;Tabanidae;Tabanus;Tabanus bifarius,0.93367,196,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU514725806,all-OTU,COI,250,247,3,3,0.01744186,1,"root,unk",-5.39688E-07,,,,,,,,,Unassigned,,Arthropoda;Insecta;Hemiptera;Schizopteridae;Corixidea;Corixidea sp. UCR ENT 00096822,1,28,219,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU391116024,all-OTU,12S,220,224,4,19,0.110465116,0.612903226,Rodentia,-1.90475E-05,"Rodentia,Cuniculidae",-2.57872E-05,"Rodentia,Cuniculidae,Cuniculus",-0.0391208,"Rodentia,Cuniculidae,Cuniculus,unk",-0.0394978,Cuniculus_paca_AF433906.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cuniculidae; g__Cuniculus; s__paca,0.99095,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU560424198,all-OTU,12S,220,222,2,6,0.034883721,0.193548387,Primates,-0.000112938,"Primates,Cebidae",-0.000211989,"Primates,Cebidae,Sapajus",-0.286053,"Primates,Cebidae,Sapajus,unk",-0.286183,Sapajus_nigritus_JN400578.1,0.955,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Sapajus; s__nigritus,0.99539,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU999774133,all-OTU,12S,220,224,4,4,0.023255814,0.129032258,Sirenia,-0.00528543,"Sirenia,Trichechidae",-0.00528567,"Sirenia,Trichechidae,Trichechus",-0.0116285,"Sirenia,Trichechidae,Trichechus,inunguis",-0.356901,Trichechus_inunguis_MW073826.1,0.982,k__Metazoa; p__Chordata; c__Mammalia; o__Sirenia; f__Trichechidae; g__Trichechus; s__manatus,1,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU103383157,all-OTU,12S,220,219,1,2,0.011627907,0.064516129,Diptera,-0.790327,"Diptera,Sarcophagidae",-1.33223,"Diptera,Sarcophagidae,unk",-1.3645,,,Miltogramma_oestracea_MW556020.1,0.689,k__Metazoa; p__Arthropoda; c__Insecta; o__Coleoptera; f__Staphylinidae; g__Tachinus; s__subterraneus,0.84314,Arthropoda;Insecta;Diptera;NA;NA;Diptera sp. INDOBIOSYS-CCDB26153-G06,0.94857,175,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU570123756,all-OTU,16S,120,112,8,32,0.186046512,0.571428571,Chiroptera,-0.0446977,"Chiroptera,Vespertilionidae",-0.0464141,"Chiroptera,Vespertilionidae,Myotis",-0.579267,"Chiroptera,Vespertilionidae,Myotis,unk",-0.579277,Myotis_bocagii_JX276375.1,0.723,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Vespertilionidae; g__Myotis; s__bocagii,0.875,Chordata;Mammalia;Chiroptera;Phyllostomidae;Artibeus;Artibeus lituratus,0.99099,111,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU561340170,all-OTU,16S,120,122,2,13,0.075581395,0.232142857,Rodentia,-0.00436082,"Rodentia,Cricetidae",-0.00469608,"Rodentia,Cricetidae,unk",-0.706743,"Rodentia,Cricetidae,Neacomys,unk",-1.58266,Neacomys_sp._MZ364461.1,0.615,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cricetidae; g__Akodon; s__montensis,0.95763,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU911054025,all-OTU,16S,120,119,1,5,0.029069767,0.089285714,Didelphimorphia,-0.0116487,"Didelphimorphia,Didelphidae",-0.0116492,"Didelphimorphia,Didelphidae,Philander",-0.69364,"Didelphimorphia,Didelphidae,Philander,unk",-0.693644,Philander_frenatus_KJ868146.1,0.824,k__Metazoa; p__Chordata; c__Mammalia; o__Didelphimorphia; f__Didelphidae; g__Didelphis; s__albiventris,0.99115,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU543244219,all-OTU,16S,120,120,0,3,0.01744186,0.053571429,Primates,-0.0150126,"Primates,Cebidae",-0.312402,"Primates,Cebidae,unk",-1.54856,"Primates,Cebidae,Saguinus,unk",-2.20453,Saguinus_bicolor_NC_064176.1,0.717,k__Metazoa; p__Chordata; c__Mammalia; o__Primates; f__Cebidae; g__Mico; s__humilis,0.93966,,,,,,,,,,,,,,,,
FRPM3P-02,CHAVES-F1R1,COI,OTU244576181,all-OTU,16S,120,101,19,3,0.01744186,0.053571429,"root,unk",-7.02141E-06,,,,,,,,,Unassigned,,Chordata;Mammalia;Lagomorpha;Leporidae;Lepus;Lepus capensis,1,32,69,,,,,,,,,,,,
FRPM3P-03,CHAVES-F1R1,COI,OTU943214579,all-OTU,COI,250,255,5,11,0.005092593,0.305555556,Pilosa,-0.00400379,"Pilosa,Bradypodidae",-0.00400427,"Pilosa,Bradypodidae,Bradypus",-0.00614027,"Pilosa,Bradypodidae,Bradypus,torquatus",-0.45217,Bradypus_torquatus_EU301711.1,0.974,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Bradypodidae; g__Bradypus; s__torquatus,0.99559,Chordata;Mammalia;Pilosa;Bradypodidae;Bradypus;Bradypus torquatus,0.99559,227,28,,,,,,,,,,,,
FRPM3P-03,CHAVES-F1R1,COI,OTU678976272,all-OTU,COI,250,254,4,9,0.004166667,0.25,Rodentia,-1.85737,"Artiodactyla,Cervidae",-2.53147,"Artiodactyla,Cervidae,unk",-2.62824,,,Bradypus_pygmaeus_GBCOC18838-23,0.747,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Bradypodidae; g__Bradypus; s__variegatus,0.88048,Chordata;Mammalia;Pilosa;Megatheriidae;Nothrotheriops;Nothrotheriops shastensis,0.91235,251,3,,,,,,,,,,,,
FRPM3P-03,CHAVES-F1R1,COI,OTU738865490,all-OTU,COI,250,255,5,6,0.002777778,0.166666667,Chiroptera,-0.00213355,"Chiroptera,Noctilionidae",-0.00264157,"Chiroptera,Noctilionidae,Noctilio",-0.049464,"Chiroptera,Noctilionidae,Noctilio,unk",-0.0495161,Noctilio_albiventris_KC011603.1,0.9,k__Metazoa; p__Chordata; c__Mammalia; o__Chiroptera; f__Noctilionidae; g__Noctilio; s__albiventris,0.9638,,,,,,,,,,,,,,,,
FRPM3P-03,CHAVES-F1R1,COI,OTU946965879,all-OTU,COI,250,255,5,3,0.001388889,0.083333333,Rodentia,-0.662772,"Rodentia,Cricetidae",-0.76696,"Rodentia,Cricetidae,unk",-0.845458,,,Dasypus_beniensis_MH710605.1,0.71,k__Metazoa; p__Chordata; c__Actinopteri; o__Gonorynchiformes; f__Kneriidae; g__Phractolaemus; s__ansorgii,0.8254,Chordata;Mammalia;Rodentia;Muridae;Hybomys;Hybomys sp. n. VVB-2020,0.83071,254,1,,,,,,,,,,,,
FRPM3P-03,CHAVES-F1R1,COI,OTU279795832,all-OTU,COI,250,254,4,3,0.001388889,0.083333333,Rodentia,-0.00100928,"Rodentia,Cuniculidae",-0.0010212,"Rodentia,Cuniculidae,Cuniculus",-0.0155642,"Rodentia,Cuniculidae,Cuniculus,unk",-0.0874383,Cuniculus_paca_JF459126.1,0.956,k__Metazoa; p__Chordata; c__Mammalia; o__Rodentia; f__Cuniculidae; g__Cuniculus; s__paca,0.97619,,,,,,,,,,,,,,,,
FRPM3P-03,CHAVES-F1R1,COI,OTU554193650,all-OTU,COI,250,255,5,2,0.000925926,0.055555556,Pilosa,-0.749309,"Pilosa,Myrmecophagidae",-0.749366,"Pilosa,Myrmecophagidae,Myrmecophaga",-1.16204,"Pilosa,Myrmecophagidae,Myrmecophaga,unk",-1.16206,Myrmecophaga_tridactyla_GBMA27852-19,0.867,k__Metazoa; p__Chordata; c__Mammalia; o__Pilosa; f__Myrmecophagidae; g__Myrmecophaga; s__tridactyla,0.94444,,,,,,,,,,,,,,,,
